ticket_id,category,status,open_date,close_date,dept,resolution_days
TKT-002115,HR Technology,Closed,2025-09-15,2025-09-23,Customer Success,8
TKT-001729,Policy & Benefits,Closed,2025-12-30,2025-12-31,Sales,1
TKT-002644,Compensation,Closed,2025-12-26,2025-12-31,Engineering,5
TKT-002298,HR Technology,Closed,2025-09-28,2025-10-10,Customer Success,12
TKT-002781,Policy & Benefits,Closed,2025-02-28,2025-03-15,Customer Success,15
TKT-002351,Onboarding,Closed,2025-03-07,2025-04-04,Engineering,28
TKT-002536,Policy & Benefits,Closed,2025-10-01,2025-10-19,Sales,18
TKT-002114,HR Technology,Closed,2025-05-19,2025-08-20,Customer Success,93
TKT-002638,HR Technology,Closed,2025-01-22,2025-01-31,Customer Success,9
TKT-002591,Payroll,Closed,2025-10-26,2025-11-26,Engineering,31
TKT-002199,Onboarding,Closed,2025-03-11,2025-04-17,Customer Success,37
TKT-002776,Policy & Benefits,Closed,2025-11-12,2025-11-16,Sales,4
TKT-002282,Learning & Development,Closed,2025-07-26,2025-08-12,Customer Success,17
TKT-002800,Learning & Development,Closed,2025-07-03,2025-07-22,Engineering,19
TKT-002514,Onboarding,Closed,2025-08-30,2025-09-06,Marketing,7
TKT-002457,Payroll,Closed,2025-09-26,2025-11-18,Engineering,53
TKT-001968,Compensation,Closed,2025-07-29,2025-09-13,Engineering,46
TKT-002075,Payroll,Closed,2025-06-09,2025-07-05,Engineering,26
TKT-002234,Learning & Development,Closed,2025-09-20,2025-11-15,Engineering,56
TKT-002662,HR Technology,Closed,2025-12-30,2025-12-31,Engineering,1
TKT-002635,Onboarding,Closed,2025-05-19,2025-06-11,Data,23
TKT-002388,Policy & Benefits,Closed,2025-12-12,2025-12-14,Finance,2
TKT-002296,Policy & Benefits,Closed,2025-12-19,2025-12-31,Customer Success,12
TKT-002742,Offboarding,Closed,2025-05-08,2025-05-15,Product,7
TKT-001983,Employee Relations,Closed,2025-01-23,2025-02-06,Engineering,14
TKT-000902,Payroll,Closed,2025-10-27,2025-11-27,Engineering,31
TKT-002614,Learning & Development,Closed,2025-08-03,2025-08-29,Product,26
TKT-002537,Policy & Benefits,Closed,2025-01-08,2025-01-20,Engineering,12
TKT-002521,HR Technology,Closed,2025-02-18,2025-05-18,Engineering,89
TKT-002440,Learning & Development,Closed,2025-01-27,2025-04-04,Data,67
TKT-002702,Compensation,Closed,2025-05-02,2025-05-16,Engineering,14
TKT-002082,Employee Relations,Closed,2025-04-16,2025-04-24,Finance,8
TKT-002135,Learning & Development,Closed,2025-05-08,2025-06-02,Customer Success,25
TKT-002774,Learning & Development,Closed,2025-11-28,2025-12-31,Engineering,33
TKT-002222,Employee Relations,Closed,2025-11-02,2025-11-22,Engineering,20
TKT-001081,Payroll,Closed,2025-02-01,2025-02-17,Marketing,16
TKT-002761,Onboarding,Closed,2025-05-05,2025-05-10,Engineering,5
TKT-001762,Onboarding,Closed,2025-10-15,2025-10-28,Engineering,13
TKT-002528,Compensation,Closed,2025-01-27,2025-02-08,Sales,12
TKT-001489,Employee Relations,Closed,2025-01-28,2025-03-23,Data,54
TKT-002323,Onboarding,Closed,2025-02-08,2025-03-08,Engineering,28
TKT-002628,HR Technology,Closed,2025-08-14,2025-08-25,Engineering,11
TKT-000887,Payroll,Closed,2025-10-30,2025-11-18,Product,19
TKT-002184,HR Technology,Closed,2025-09-06,2025-10-12,Engineering,36
TKT-002557,Payroll,Closed,2025-08-20,2025-09-27,Customer Success,38
TKT-002320,HR Technology,Closed,2025-05-28,2025-07-22,Engineering,55
TKT-002598,Policy & Benefits,Closed,2025-12-05,2025-12-09,Engineering,4
TKT-002437,Policy & Benefits,Closed,2025-08-31,2025-09-24,Engineering,24
TKT-002482,Learning & Development,Closed,2025-06-07,2025-06-20,Engineering,13
TKT-002311,HR Technology,Closed,2025-02-27,2025-03-17,Customer Success,18
TKT-002568,Employee Relations,Closed,2025-04-13,2025-05-17,Engineering,34
TKT-001903,HR Technology,Closed,2025-04-08,2025-05-15,Customer Success,37
TKT-000812,HR Technology,Closed,2025-03-19,2025-07-02,Engineering,105
TKT-002640,Onboarding,Closed,2025-03-17,2025-03-20,Customer Success,3
TKT-002505,Payroll,Closed,2025-03-18,2025-04-12,Data,25
TKT-002384,HR Technology,Closed,2025-02-09,2025-05-09,Data,89
TKT-000880,HR Technology,Closed,2025-03-21,2025-05-06,Engineering,46
TKT-002427,Payroll,Closed,2025-09-19,2025-10-21,Engineering,32
TKT-000381,Offboarding,Closed,2025-04-15,2025-04-29,Customer Success,14
TKT-001653,Onboarding,Closed,2025-12-09,2025-12-31,Marketing,22
TKT-001608,Learning & Development,Closed,2025-08-30,2025-09-15,Customer Success,16
TKT-002516,HR Technology,Closed,2025-11-16,2025-12-31,Engineering,45
TKT-002540,HR Technology,Closed,2025-12-16,2025-12-31,Customer Success,15
TKT-002031,Policy & Benefits,Closed,2025-03-19,2025-03-31,Marketing,12
TKT-002192,Compensation,Closed,2025-01-25,2025-03-14,Sales,48
TKT-002575,Learning & Development,Closed,2025-05-07,2025-05-15,Sales,8
TKT-002552,Policy & Benefits,Closed,2025-06-22,2025-06-24,Sales,2
TKT-002181,Learning & Development,Closed,2025-11-16,2025-12-31,Data,45
TKT-002364,Onboarding,Closed,2024-12-31,2025-01-05,Engineering,5
TKT-001372,Policy & Benefits,Closed,2025-10-27,2025-11-01,Sales,5
TKT-002700,Payroll,Closed,2025-07-27,2025-08-02,Engineering,6
TKT-002127,Employee Relations,Closed,2025-10-14,2025-11-03,Customer Success,20
TKT-002420,Onboarding,Closed,2025-01-22,2025-01-30,Data,8
TKT-002718,HR Technology,Closed,2025-07-22,2025-08-26,Product,35
TKT-002792,Policy & Benefits,Closed,2025-03-23,2025-03-29,Product,6
TKT-002294,Payroll,Closed,2025-05-22,2025-05-26,Finance,4
TKT-002777,Policy & Benefits,Closed,2025-07-01,2025-07-09,Data,8
TKT-000165,Employee Relations,Closed,2025-05-28,2025-07-17,Data,50
TKT-001050,Learning & Development,Closed,2025-05-13,2025-05-24,Engineering,11
TKT-002534,Onboarding,Closed,2025-12-06,2025-12-15,Customer Success,9
TKT-002098,HR Technology,Closed,2025-06-25,2025-07-23,Customer Success,28
TKT-002194,Compensation,Closed,2025-06-01,2025-06-13,Engineering,12
TKT-001823,Onboarding,Closed,2025-02-27,2025-03-03,Engineering,4
TKT-001694,Learning & Development,Closed,2025-08-29,2025-09-16,Product,18
TKT-002308,Onboarding,Closed,2025-06-23,2025-07-17,Engineering,24
TKT-001789,Payroll,Closed,2025-05-07,2025-05-23,Product,16
TKT-002065,Policy & Benefits,Closed,2024-12-31,2025-01-16,Sales,16
TKT-002545,Policy & Benefits,Closed,2025-02-27,2025-03-05,Engineering,6
TKT-002337,HR Technology,Closed,2025-08-15,2025-09-14,Engineering,30
TKT-002206,Payroll,Closed,2025-03-19,2025-04-01,Engineering,13
TKT-002372,Payroll,Closed,2025-02-02,2025-02-09,Engineering,7
TKT-001952,Policy & Benefits,Closed,2025-07-20,2025-07-27,Engineering,7
TKT-002017,Onboarding,Closed,2025-06-14,2025-07-02,HR,18
TKT-000906,Onboarding,Closed,2025-07-18,2025-08-05,Engineering,18
TKT-002314,Employee Relations,Closed,2025-04-26,2025-06-10,Engineering,45
TKT-002232,Policy & Benefits,Closed,2025-08-07,2025-08-31,Customer Success,24
TKT-000121,HR Technology,Closed,2025-06-03,2025-08-29,Product,87
TKT-002223,HR Technology,Closed,2025-01-16,2025-04-04,Customer Success,78
TKT-002691,Onboarding,Closed,2025-10-05,2025-10-13,Engineering,8
TKT-002704,Learning & Development,Closed,2025-11-06,2025-11-13,Sales,7
TKT-002621,HR Technology,Closed,2025-02-22,2025-05-07,Engineering,74
TKT-002749,HR Technology,Closed,2025-08-29,2025-10-29,Engineering,61
TKT-002267,Payroll,Closed,2025-03-11,2025-04-11,Sales,31
TKT-002382,HR Technology,Closed,2025-05-24,2025-08-03,Engineering,71
TKT-002710,Payroll,Closed,2025-05-15,2025-06-22,Product,38
TKT-001943,Learning & Development,Closed,2025-08-29,2025-10-05,Product,37
TKT-002160,Payroll,Closed,2025-05-11,2025-05-14,Sales,3
TKT-002703,Compensation,Closed,2025-07-22,2025-09-08,Product,48
TKT-001965,HR Technology,Closed,2025-10-14,2025-11-16,Finance,33
TKT-002147,HR Technology,Closed,2025-10-15,2025-12-31,Engineering,77
TKT-002030,Payroll,Closed,2025-03-04,2025-04-30,Engineering,57
TKT-002706,HR Technology,Closed,2025-04-07,2025-06-12,Sales,66
TKT-002609,Onboarding,Closed,2025-02-06,2025-02-27,Product,21
TKT-001517,Payroll,Closed,2025-05-29,2025-06-10,Data,12
TKT-002798,Payroll,Closed,2025-07-31,2025-08-06,Engineering,6
TKT-001621,HR Technology,Closed,2025-09-04,2025-12-06,Engineering,93
TKT-002459,Onboarding,Closed,2025-10-24,2025-11-18,Engineering,25
TKT-002436,HR Technology,Closed,2025-08-23,2025-09-21,Engineering,29
TKT-002569,Policy & Benefits,Closed,2025-11-06,2025-11-16,Engineering,10
TKT-002709,Payroll,Closed,2025-06-01,2025-07-03,Engineering,32
TKT-001134,Policy & Benefits,Closed,2025-11-24,2025-11-28,Sales,4
TKT-001336,HR Technology,Closed,2025-11-23,2025-12-29,Engineering,36
TKT-002395,Onboarding,Closed,2025-06-07,2025-06-13,Finance,6
TKT-002592,Payroll,Closed,2025-12-21,2025-12-31,Customer Success,10
TKT-002657,HR Technology,Closed,2025-11-03,2025-12-31,Engineering,58
TKT-001799,Payroll,Closed,2025-02-20,2025-03-19,Product,27
TKT-002277,Employee Relations,Closed,2025-08-23,2025-09-20,Engineering,28
TKT-000545,Employee Relations,Closed,2025-08-25,2025-09-09,Engineering,15
TKT-002625,Onboarding,Closed,2025-11-11,2025-12-06,Engineering,25
TKT-002755,Compensation,Closed,2025-09-19,2025-11-03,Sales,45
TKT-001043,HR Technology,Closed,2025-03-30,2025-06-08,Customer Success,70
TKT-001924,Policy & Benefits,Closed,2025-11-04,2025-11-17,Sales,13
TKT-002561,Learning & Development,Closed,2025-02-04,2025-02-25,Engineering,21
TKT-002674,Offboarding,Closed,2025-05-20,2025-06-11,Customer Success,22
TKT-002350,Offboarding,Closed,2025-09-05,2025-09-17,Customer Success,12
TKT-002672,Onboarding,Closed,2025-02-22,2025-02-27,Finance,5
TKT-002765,Payroll,Closed,2025-11-02,2025-11-08,Sales,6
TKT-002239,HR Technology,Closed,2025-06-14,2025-07-30,Sales,46
TKT-002796,HR Technology,Closed,2025-05-14,2025-07-17,Engineering,64
TKT-002757,Employee Relations,Closed,2025-11-27,2025-12-31,Marketing,34
TKT-002683,HR Technology,Closed,2025-05-12,2025-06-02,Customer Success,21
TKT-001639,HR Technology,Closed,2025-08-19,2025-09-29,Sales,41
TKT-002381,Policy & Benefits,Closed,2025-06-26,2025-06-29,Data,3
TKT-001457,HR Technology,Closed,2025-11-08,2025-12-17,Sales,39
TKT-002799,HR Technology,Closed,2025-12-23,2025-12-31,HR,8
TKT-002229,HR Technology,Closed,2025-09-14,2025-11-09,Engineering,56
TKT-001763,Policy & Benefits,Closed,2025-01-12,2025-01-21,Engineering,9
TKT-002604,Payroll,Closed,2025-12-04,2025-12-31,Engineering,27
TKT-002088,Compensation,Closed,2025-07-01,2025-08-07,Product,37
TKT-001933,Onboarding,Closed,2025-01-15,2025-02-05,Engineering,21
TKT-002040,Learning & Development,Closed,2025-10-10,2025-11-20,Sales,41
TKT-002250,HR Technology,Closed,2025-06-03,2025-08-28,Engineering,86
TKT-002705,Policy & Benefits,Closed,2025-05-12,2025-06-09,Engineering,28
TKT-002523,HR Technology,Closed,2025-10-11,2025-11-18,Engineering,38
TKT-002584,Learning & Development,Closed,2025-03-01,2025-05-06,Customer Success,66
TKT-002786,Offboarding,Closed,2025-12-23,2025-12-31,Customer Success,8
TKT-001889,HR Technology,Closed,2025-07-19,2025-07-30,Marketing,11
TKT-002214,Employee Relations,Closed,2025-12-23,2025-12-31,Engineering,8
TKT-002330,Compensation,Closed,2025-06-29,2025-08-07,Engineering,39
TKT-002504,Payroll,Closed,2025-03-06,2025-04-12,Marketing,37
TKT-002094,Policy & Benefits,Closed,2025-01-15,2025-01-17,Customer Success,2
TKT-002699,HR Technology,Closed,2025-09-02,2025-11-19,Engineering,78
TKT-002769,Policy & Benefits,Closed,2025-12-25,2025-12-31,Engineering,6
TKT-002679,Policy & Benefits,Closed,2025-10-26,2025-11-05,Marketing,10
TKT-002608,Payroll,Closed,2025-02-15,2025-03-20,Customer Success,33
TKT-002339,Onboarding,Closed,2025-11-07,2025-11-25,Engineering,18
TKT-001927,Policy & Benefits,Closed,2025-07-31,2025-08-07,HR,7
TKT-002678,Onboarding,Closed,2025-03-29,2025-04-14,Customer Success,16
TKT-002486,HR Technology,Closed,2025-06-03,2025-06-26,Engineering,23
TKT-002525,HR Technology,Closed,2025-11-24,2025-12-23,Data,29
TKT-002716,HR Technology,Closed,2025-07-27,2025-09-23,Product,58
TKT-001971,Payroll,Closed,2025-12-06,2025-12-15,Engineering,9
TKT-002795,Policy & Benefits,Closed,2025-07-09,2025-07-13,Customer Success,4
TKT-002475,HR Technology,Closed,2025-11-20,2025-12-31,Customer Success,41
TKT-002793,HR Technology,Closed,2025-10-10,2025-10-17,Engineering,7
TKT-001635,Payroll,Closed,2025-12-05,2025-12-14,Data,9
TKT-002730,Learning & Development,Closed,2025-01-25,2025-02-25,Engineering,31
TKT-002383,Compensation,Closed,2025-04-16,2025-05-03,Product,17
TKT-002595,HR Technology,Closed,2025-12-03,2025-12-31,Engineering,28
TKT-002606,Offboarding,Closed,2025-08-07,2025-09-04,Customer Success,28
TKT-002458,Employee Relations,Closed,2025-07-11,2025-09-25,Engineering,76
TKT-002461,Onboarding,Closed,2025-12-15,2025-12-26,Customer Success,11
TKT-002788,Compensation,Closed,2025-03-04,2025-03-19,Customer Success,15
TKT-002670,Policy & Benefits,Closed,2025-01-26,2025-02-10,Engineering,15
TKT-002581,Compensation,Closed,2025-09-16,2025-10-12,Engineering,26
TKT-002669,Offboarding,Closed,2025-10-11,2025-10-30,Customer Success,19
TKT-001730,Payroll,Closed,2025-12-12,2025-12-27,Sales,15
TKT-002133,Learning & Development,Closed,2025-01-25,2025-02-13,Data,19
TKT-002429,Payroll,Closed,2025-09-19,2025-10-15,Product,26
TKT-001825,Payroll,Closed,2025-04-13,2025-05-06,Engineering,23
TKT-002728,Policy & Benefits,Closed,2025-08-28,2025-09-02,Product,5
TKT-002648,HR Technology,Closed,2025-07-27,2025-11-03,Engineering,99
TKT-002415,HR Technology,Closed,2025-05-31,2025-09-15,Engineering,107
TKT-002658,Policy & Benefits,Closed,2025-12-17,2025-12-26,Engineering,9
TKT-002312,Payroll,Closed,2025-02-06,2025-02-17,Product,11
TKT-002724,Offboarding,Closed,2025-06-26,2025-07-09,Engineering,13
TKT-002720,Employee Relations,Closed,2025-08-08,2025-09-12,Customer Success,35
TKT-001389,Employee Relations,Closed,2025-02-25,2025-03-17,Customer Success,20
TKT-001996,HR Technology,Closed,2025-08-17,2025-09-27,Customer Success,41
TKT-002362,Policy & Benefits,Closed,2025-10-23,2025-11-11,Engineering,19
TKT-002219,Learning & Development,Closed,2024-12-31,2025-01-23,Sales,23
TKT-001439,Payroll,Closed,2025-01-06,2025-02-16,Product,41
TKT-002649,Payroll,Closed,2025-12-07,2025-12-27,Engineering,20
TKT-002366,Payroll,Closed,2025-03-25,2025-04-14,Sales,20
TKT-002586,Employee Relations,Closed,2025-07-25,2025-09-24,Engineering,61
TKT-002751,Policy & Benefits,Closed,2025-12-09,2025-12-21,Data,12
TKT-002667,Compensation,Closed,2025-05-12,2025-06-07,Engineering,26
TKT-002729,HR Technology,Closed,2025-07-08,2025-08-21,Engineering,44
TKT-001843,Payroll,Closed,2025-10-27,2025-11-13,Product,17
TKT-002287,Payroll,Closed,2025-08-05,2025-09-02,Engineering,28
TKT-002531,HR Technology,Closed,2025-01-10,2025-03-17,Product,66
TKT-002754,Payroll,Closed,2025-09-01,2025-09-05,Engineering,4
TKT-002310,Onboarding,Closed,2025-02-09,2025-02-25,Engineering,16
TKT-002365,Policy & Benefits,Closed,2025-12-31,2025-12-31,Engineering,0
TKT-002659,Onboarding,Closed,2025-04-23,2025-05-13,Engineering,20
TKT-001045,Learning & Development,Closed,2025-07-03,2025-08-01,Customer Success,29
TKT-002242,Policy & Benefits,Closed,2025-05-18,2025-05-22,Customer Success,4
TKT-002204,Learning & Development,Closed,2025-11-27,2025-12-31,Engineering,34
TKT-002576,Onboarding,Closed,2025-03-03,2025-03-11,Engineering,8
TKT-002707,HR Technology,Closed,2025-12-28,2025-12-31,HR,3
TKT-002753,Learning & Development,Closed,2025-01-11,2025-02-22,Marketing,42
TKT-000341,Onboarding,Closed,2025-12-12,2025-12-31,Engineering,19
TKT-002008,HR Technology,Closed,2025-10-20,2025-10-28,Finance,8
TKT-002734,Employee Relations,Closed,2025-06-14,2025-08-01,Engineering,48
TKT-001241,HR Technology,Closed,2025-06-11,2025-07-06,Engineering,25
TKT-002682,Payroll,Closed,2025-06-30,2025-07-30,Customer Success,30
TKT-002772,Compensation,Closed,2025-03-11,2025-04-06,Data,26
TKT-002259,Payroll,Closed,2025-05-24,2025-05-31,Sales,7
TKT-001932,Payroll,Closed,2025-09-13,2025-10-15,Customer Success,32
TKT-002695,Policy & Benefits,Closed,2025-02-22,2025-03-08,Engineering,14
TKT-001884,Onboarding,Closed,2025-05-31,2025-06-08,Sales,8
TKT-001806,Onboarding,Closed,2025-11-17,2025-12-12,Engineering,25
TKT-002589,Policy & Benefits,Closed,2025-09-12,2025-09-15,Engineering,3
TKT-002767,Offboarding,Closed,2025-04-05,2025-04-28,Engineering,23
TKT-002248,Learning & Development,Closed,2025-08-14,2025-08-23,Executive,9
TKT-002611,Compensation,Closed,2025-03-10,2025-03-21,Engineering,11
TKT-002520,Payroll,Closed,2025-09-15,2025-09-19,Customer Success,4
TKT-002768,HR Technology,Closed,2025-12-13,2025-12-31,Customer Success,18
TKT-002741,Payroll,Closed,2025-07-21,2025-08-06,Customer Success,16
TKT-002303,Policy & Benefits,Closed,2025-03-23,2025-04-09,Product,17
TKT-002685,Onboarding,Closed,2025-04-07,2025-04-14,Sales,7
TKT-002668,Onboarding,Closed,2025-08-16,2025-08-26,Engineering,10
TKT-002599,Policy & Benefits,Closed,2025-04-27,2025-05-13,Sales,16
TKT-002652,Offboarding,Closed,2025-01-24,2025-01-26,Product,2
TKT-002790,HR Technology,Closed,2025-05-23,2025-06-07,Sales,15
TKT-002723,HR Technology,Closed,2025-06-03,2025-07-10,Engineering,37
TKT-002509,Compensation,Closed,2025-05-06,2025-05-15,Engineering,9
TKT-002616,Learning & Development,Closed,2025-02-07,2025-03-20,Marketing,41
TKT-002423,Payroll,Closed,2025-05-15,2025-07-03,Engineering,49
TKT-001997,Employee Relations,Closed,2025-03-10,2025-04-29,Product,50
TKT-001660,Payroll,Closed,2025-03-23,2025-04-27,Sales,35
TKT-002687,Learning & Development,Closed,2025-03-12,2025-05-11,Sales,60
TKT-002191,Onboarding,Closed,2025-09-06,2025-09-20,Sales,14
TKT-002465,Payroll,Closed,2025-07-27,2025-07-30,Sales,3
TKT-001981,HR Technology,Closed,2025-11-30,2025-12-31,Product,31
TKT-002473,Offboarding,Closed,2025-03-05,2025-03-17,Engineering,12
TKT-002735,Policy & Benefits,Closed,2025-05-05,2025-05-10,Engineering,5
TKT-002394,Payroll,Closed,2025-12-20,2025-12-31,Engineering,11
TKT-001800,Payroll,Closed,2025-03-06,2025-03-08,Data,2
TKT-002779,Policy & Benefits,Closed,2025-12-18,2025-12-20,Sales,2
TKT-002555,Payroll,Closed,2025-10-28,2025-11-01,Product,4
TKT-001399,HR Technology,Closed,2025-01-03,2025-03-13,Product,69
TKT-002489,HR Technology,Closed,2025-09-17,2025-11-16,Sales,60
TKT-002748,Employee Relations,Closed,2025-04-24,2025-05-10,Engineering,16
TKT-002692,HR Technology,Closed,2025-01-14,2025-05-04,Engineering,110
TKT-001879,Onboarding,Closed,2025-07-21,2025-08-21,Engineering,31
TKT-001423,HR Technology,Closed,2025-10-17,2025-11-03,Customer Success,17
TKT-002596,Onboarding,Closed,2025-12-18,2025-12-29,Engineering,11
TKT-001456,Learning & Development,Closed,2025-02-05,2025-04-01,Sales,55
TKT-002580,Learning & Development,Closed,2025-06-06,2025-08-08,Engineering,63
TKT-000811,Payroll,Closed,2025-02-18,2025-03-16,Engineering,26
TKT-002494,HR Technology,Closed,2025-02-05,2025-04-27,Sales,81
TKT-002661,Employee Relations,Closed,2025-06-07,2025-08-06,Data,60
TKT-002513,Employee Relations,Closed,2025-02-21,2025-04-15,Engineering,53
TKT-002677,Policy & Benefits,Closed,2025-02-13,2025-02-25,Data,12
TKT-002051,Onboarding,Closed,2025-08-28,2025-08-31,Customer Success,3
TKT-001824,Learning & Development,Closed,2025-11-06,2025-12-02,Customer Success,26
TKT-002493,Learning & Development,Closed,2025-12-24,2025-12-31,Engineering,7
TKT-002386,HR Technology,Closed,2025-09-23,2025-12-05,Engineering,73
TKT-002784,Employee Relations,Closed,2025-07-21,2025-09-16,Customer Success,57
TKT-002563,Compensation,Closed,2025-09-13,2025-09-21,Data,8
TKT-002744,Learning & Development,Closed,2025-03-11,2025-04-26,Engineering,46
TKT-002280,Employee Relations,Closed,2025-11-19,2025-12-31,Sales,42
TKT-002472,Payroll,Closed,2025-11-14,2025-11-18,Engineering,4
TKT-002745,Employee Relations,Closed,2025-05-17,2025-06-24,Data,38
TKT-002220,Policy & Benefits,Closed,2025-11-26,2025-12-06,Engineering,10
TKT-002624,Employee Relations,Closed,2025-02-12,2025-02-18,Finance,6
TKT-002602,Policy & Benefits,Closed,2025-07-09,2025-07-22,Customer Success,13
TKT-002740,Learning & Development,Closed,2025-07-18,2025-09-08,Engineering,52
TKT-002694,Payroll,Closed,2025-04-10,2025-05-17,Engineering,37
TKT-002680,Onboarding,Closed,2025-02-05,2025-02-18,Finance,13
TKT-001822,Learning & Development,Closed,2025-03-12,2025-05-07,Engineering,56
TKT-002632,HR Technology,Closed,2025-12-18,2025-12-31,Data,13
TKT-001552,Policy & Benefits,Closed,2025-08-18,2025-08-25,Customer Success,7
TKT-002764,HR Technology,Closed,2025-01-27,2025-04-07,Data,70
TKT-001404,Learning & Development,Closed,2025-06-18,2025-07-19,Customer Success,31
TKT-002721,Learning & Development,Closed,2025-03-06,2025-04-07,Engineering,32
TKT-002507,HR Technology,Closed,2025-04-03,2025-07-10,Customer Success,98
TKT-002444,Learning & Development,Closed,2025-10-09,2025-10-31,Customer Success,22
TKT-002708,Offboarding,Closed,2025-07-06,2025-07-19,Engineering,13
TKT-002654,Payroll,Closed,2025-11-09,2025-12-23,Customer Success,44
TKT-002488,Payroll,Closed,2025-01-28,2025-02-23,Engineering,26
TKT-002732,Onboarding,Closed,2025-12-15,2025-12-31,Sales,16
TKT-002676,Payroll,Closed,2025-02-19,2025-02-24,Customer Success,5
TKT-002421,Payroll,Closed,2025-12-14,2025-12-27,Engineering,13
TKT-002375,Payroll,Closed,2025-08-02,2025-09-13,Sales,42
TKT-002722,Onboarding,Closed,2025-05-29,2025-06-21,Engineering,23
TKT-001923,Onboarding,Closed,2025-03-29,2025-04-16,Data,18
TKT-002665,HR Technology,Closed,2025-08-18,2025-09-03,Customer Success,16
TKT-002646,Policy & Benefits,Closed,2025-01-23,2025-02-03,Product,11
TKT-002664,Learning & Development,Closed,2025-01-28,2025-04-19,Engineering,81
TKT-002428,Onboarding,Closed,2025-01-01,2025-01-02,HR,1
TKT-001990,Policy & Benefits,Closed,2025-02-08,2025-03-01,Engineering,21
TKT-001873,HR Technology,Closed,2025-05-14,2025-07-09,Engineering,56
