ticket_id,employee_id,position_id,category,status,open_date,close_date,assigned_to,resolution_notes
TKT-000044,EMP-00046,,Policy & Benefits,Closed,2025-07-15,2025-07-20,EMP-00396,Herself region matter street south author.
TKT-000045,EMP-00409,,Policy & Benefits,Closed,2025-07-12,2025-07-28,EMP-00397,Job least back fine investment.
TKT-000046,EMP-00128,,Employee Relations,In Progress,2025-02-07,,EMP-00399,
TKT-000047,EMP-00387,,HR Technology,Closed,2025-11-17,2025-12-31,EMP-00399,Remember individual boy again foot soon peace story.
TKT-000048,EMP-00209,,Payroll,Closed,2025-08-26,2025-09-12,EMP-00399,Because such during open model how financial fund.
TKT-000049,EMP-00090,,Policy & Benefits,Closed,2025-07-30,2025-08-04,EMP-00394,Single baby plan most create simply go when.
TKT-000050,EMP-00260,,Policy & Benefits,Closed,2025-11-30,2025-12-04,EMP-00045,Door chair culture own set pretty.
TKT-000051,EMP-00337,FIN-IC2,Onboarding,Closed,2025-01-05,2025-02-07,EMP-00399,Week physical less nor often race.
TKT-000052,EMP-00190,SALES-IC2,Compensation,Closed,2025-02-20,2025-03-03,EMP-00397,Poor worry follow wife firm key light place someone option.
TKT-000053,EMP-00160,,Policy & Benefits,Closed,2025-06-23,2025-07-02,EMP-00044,Medical financial later arm story baby ten talk.
TKT-000054,EMP-00077,HR-MGR,Onboarding,Closed,2025-09-11,2025-10-11,EMP-00045,Order his oil west school American training occur could painting may.
TKT-000055,EMP-00395,,Payroll,Closed,2025-05-17,2025-06-29,EMP-00396,Late specific study word base.
TKT-000056,EMP-00187,,HR Technology,In Progress,2025-03-26,,EMP-00392,
TKT-000057,EMP-00019,,Policy & Benefits,Closed,2025-10-08,2025-10-11,EMP-00397,Always remain yard model particular hair.
TKT-000058,EMP-00039,,Policy & Benefits,Closed,2025-04-25,2025-05-12,EMP-00392,Hold simple quickly appear piece free form.
TKT-000059,EMP-00270,,Policy & Benefits,Closed,2025-04-13,2025-04-24,EMP-00391,Question exist rich prevent trade their four old center glass.
TKT-000060,EMP-00005,,Employee Relations,Closed,2025-12-20,2025-12-31,EMP-00395,Can remember be next poor foreign campaign reflect.
TKT-000061,EMP-00095,DEL-ROLE-041,Learning & Development,Closed,2025-12-08,2025-12-31,EMP-00393,Behavior provide meet adult final week game she court yourself.
TKT-000062,EMP-00157,,HR Technology,Closed,2025-12-15,2025-12-31,EMP-00044,Baby such big side strong this.
TKT-000063,EMP-00124,DEL-ROLE-017,Offboarding,Closed,2025-05-30,2025-06-20,EMP-00398,Product then peace others child.
TKT-000064,EMP-00168,SALES-MGR,Onboarding,Closed,2025-11-20,2025-11-26,EMP-00395,Story side speak close join improve.
TKT-000065,EMP-00177,,Payroll,Open,2025-10-01,,EMP-00394,
TKT-000066,EMP-00029,CS-MGR,Compensation,Closed,2025-12-30,2025-12-23,EMP-00398,Wide particular sell six doctor dream whole.
TKT-000067,EMP-00408,,HR Technology,Closed,2025-04-03,2025-05-16,EMP-00391,Tough create question now key show sing me industry.
TKT-000068,EMP-00010,ENG-SR,Learning & Development,In Progress,2025-09-26,,EMP-00044,
TKT-000069,EMP-00411,EXEC,Offboarding,Closed,2025-05-31,2025-06-08,EMP-00395,Stage soon catch economic political them.
TKT-000070,EMP-00030,DEL-ROLE-023,Onboarding,Closed,2025-03-02,2025-04-01,EMP-00396,Various represent middle by base civil last message store begin.
TKT-000071,EMP-00294,,Policy & Benefits,Closed,2025-06-09,2025-06-25,EMP-00396,Stage this us increase how hear history.
TKT-000072,EMP-00307,,Payroll,Closed,2025-10-21,2025-11-25,EMP-00397,Heart agreement us stuff practice.
TKT-000073,EMP-00272,DATA-SR,Learning & Development,Closed,2025-07-21,2025-08-08,EMP-00044,Case expert stop receive catch relationship.
TKT-000074,EMP-00214,,Payroll,Closed,2025-04-09,2025-04-13,EMP-00392,Past town affect democratic change vote participant institution simply.
TKT-000075,EMP-00240,,Policy & Benefits,Closed,2025-02-14,2025-02-16,EMP-00044,Feeling answer information soldier lead book toward.
TKT-000076,EMP-00212,,Policy & Benefits,Closed,2025-01-22,2025-02-05,EMP-00392,Movie place offer responsibility fact ability good number cost property.
TKT-000077,EMP-00313,SALES-IC2,Learning & Development,Closed,2025-07-31,2025-08-18,EMP-00391,Window attack moment medical write never hospital like player wonder.
TKT-000078,EMP-00370,,Policy & Benefits,Closed,2025-01-03,2025-01-05,EMP-00398,Section ground attack drop price billion old.
TKT-000079,EMP-00291,,Payroll,Closed,2025-03-21,2025-03-31,EMP-00044,Card good full poor store range wonder long.
TKT-000080,EMP-00249,,Employee Relations,In Progress,2025-11-21,,EMP-00045,
TKT-000081,EMP-00262,,Payroll,Closed,2025-09-25,2025-10-19,EMP-00395,Specific as simply leader fall analysis.
TKT-000082,EMP-00306,FIN-MGR,Onboarding,Closed,2025-09-26,2025-10-13,EMP-00394,Though firm financial huge spring list.
TKT-000083,EMP-00364,PM-IC2,Offboarding,Closed,2025-07-14,2025-08-06,EMP-00395,Send course ground sit tend.
TKT-000084,EMP-00004,MKT-IC2,Onboarding,In Progress,2025-04-30,,EMP-00398,
TKT-000085,EMP-00217,CS-IC1,Learning & Development,Closed,2025-08-31,2025-09-30,EMP-00399,Event son join hundred keep what fund cost.
TKT-000086,EMP-00079,,Policy & Benefits,Closed,2025-07-27,2025-08-06,EMP-00393,Happen something entire bar interesting issue yet Congress family.
TKT-000087,EMP-00370,,Payroll,In Progress,2025-07-21,,EMP-00396,
TKT-000088,EMP-00154,DEL-ROLE-041,Learning & Development,In Progress,2025-03-18,,EMP-00045,
TKT-000089,EMP-00305,,Payroll,Closed,2025-03-07,2025-03-14,EMP-00394,Bag produce fill owner international.
TKT-000090,EMP-00310,,HR Technology,Closed,2025-06-20,2025-08-09,EMP-00399,Goal amount thank good your ever woman way avoid.
TKT-000091,EMP-00055,,Policy & Benefits,Closed,2025-08-22,2025-09-06,EMP-00393,Guy song quickly well central parent sit alone.
TKT-000092,EMP-00171,ENG-MGR,Learning & Development,Closed,2025-05-10,2025-05-24,EMP-00393,Door population gun we allow.
TKT-000093,EMP-00157,,Policy & Benefits,In Progress,2025-09-28,,EMP-00396,
TKT-000094,EMP-00384,,Employee Relations,Closed,2025-04-07,2025-06-17,EMP-00396,Quickly we head several off morning.
TKT-000095,EMP-00053,,Employee Relations,Closed,2025-12-28,2025-12-31,EMP-00392,Fire everything whether ago control military trial brother.
TKT-000096,EMP-00301,,Policy & Benefits,Closed,2025-12-27,2025-12-29,EMP-00044,Region Democrat partner really your customer career.
TKT-000097,EMP-00369,EXEC,Onboarding,In Progress,2025-02-19,,EMP-00045,
TKT-000098,EMP-00187,,HR Technology,Closed,2025-03-24,2025-05-28,EMP-00391,Later together knowledge because radio.
TKT-000099,EMP-00182,CS-IC2,Onboarding,Closed,2025-12-23,2025-12-31,EMP-00395,Property remember nearly face feel church remember record.
TKT-000100,EMP-00115,,HR Technology,Closed,2025-11-12,2025-12-31,EMP-00399,Soldier meeting building cut catch so.
TKT-000101,EMP-00186,,HR Technology,Closed,2025-08-17,2025-11-24,EMP-00397,Guess occur level work candidate.
TKT-000102,EMP-00310,,HR Technology,Open,2025-08-29,,EMP-00395,
TKT-000103,EMP-00249,ENG-IC1,Onboarding,Open,2025-01-31,,EMP-00398,
TKT-000104,EMP-00264,,Policy & Benefits,Closed,2025-06-20,2025-07-03,EMP-00392,Assume huge response long improve.
TKT-000105,EMP-00179,,Benefits,Closed,2025-11-19,2025-12-06,EMP-00395,Statement available win politics last quite general there.
TKT-000106,EMP-00002,,HR Technology,In Progress,2025-04-05,,EMP-00397,
TKT-000107,EMP-00029,FIN-MGR,Offboarding,Closed,2025-05-02,2025-05-25,EMP-00397,Policy consider whom item treat area buy check clearly follow.
TKT-000108,EMP-00311,DEL-ROLE-023,Offboarding,Closed,2025-01-29,2025-02-01,EMP-00397,Generation wait thus suffer economy play nearly.
TKT-000109,EMP-00210,CS-IC1,Learning & Development,Closed,2025-10-19,2025-12-26,EMP-00392,Person pass behavior political option oil.
TKT-000110,EMP-00013,,Employee Relations,Closed,2025-03-18,2025-04-15,EMP-00399,Probably result painting successful nor stay.
TKT-000111,EMP-00167,,HR Technology,Closed,2025-06-18,2025-10-04,EMP-00395,Ball we side enough decision.
TKT-000112,EMP-00027,,Payroll,Closed,2025-04-19,2025-04-24,EMP-00395,Indicate police marriage phone face what lot source rate father.
TKT-000113,EMP-00386,HR-MGR,Onboarding,Closed,2025-07-10,2025-07-23,EMP-00399,Read citizen indeed less future.
TKT-000114,EMP-00414,CS-MGR,Learning & Development,Closed,2025-12-16,2025-12-31,EMP-00045,Fine responsibility safe team wish candidate.
TKT-000115,EMP-00192,FIN-MGR,Onboarding,Closed,2025-06-22,2025-07-04,EMP-00397,Middle blood drop business last cell anything war.
TKT-000116,EMP-00097,DEL-ROLE-017,Learning & Development,Closed,2025-08-02,2025-08-22,EMP-00044,Industry while total spend value return couple city you level these.
TKT-000117,EMP-00173,,Payroll,Closed,2025-10-14,2025-10-20,EMP-00391,Age war measure whom Democrat good anything manager think.
TKT-000118,EMP-00046,,Payroll,Closed,2025-05-18,2025-05-24,EMP-00398,Experience account blue care enough hand idea and anything.
TKT-000119,EMP-00292,,Policy & Benefits,Closed,2025-05-16,2025-05-19,EMP-00399,Crime network available mean share evidence writer quite budget window.
TKT-000120,EMP-00205,DATA-SR,Onboarding,Closed,2025-03-23,2025-04-21,EMP-00391,Health would newspaper hand certain own husband American.
TKT-000121,EMP-00246,,HR Technology,Closed,2025-06-03,2025-08-29,EMP-00397,Case four listen lead paper.
TKT-000122,EMP-00358,,Payroll,Closed,2025-04-09,2025-04-16,EMP-00391,Cause use five hotel pattern successful order medical meeting majority.
TKT-000123,EMP-00210,,HR Technology,Closed,2025-04-23,2025-05-24,EMP-00393,Feel staff happy purpose woman on someone rise read ago.
TKT-000124,EMP-00099,MKT-MGR,Offboarding,Closed,2025-11-22,2025-12-07,EMP-00397,Enter pretty will official dinner anything lose modern return.
TKT-000125,EMP-00038,,HR Technology,Closed,2025-09-22,2025-09-27,EMP-00399,Challenge quite all way body affect finish charge.
TKT-000126,EMP-00220,,Employee Relations,Closed,2025-02-17,2025-03-19,EMP-00044,Improve simple turn their save artist.
TKT-000127,EMP-00371,,Payroll,Closed,2025-03-02,2025-04-17,EMP-00393,Million night your long heavy what.
TKT-000128,EMP-00320,,Payroll,Closed,2025-07-24,2025-08-05,EMP-00044,Treatment garden great sign return poor really particular court.
TKT-000129,EMP-00251,DATA-SR,Learning & Development,In Progress,2025-04-24,,EMP-00391,
TKT-000130,EMP-00171,PM-IC2,Offboarding,Closed,2025-06-13,2025-06-27,EMP-00392,Everything fear walk word side relate real.
TKT-000131,EMP-00053,,HR Technology,Closed,2025-01-16,2025-03-22,EMP-00394,First give value somebody event business quality here woman.
TKT-000132,EMP-00088,,Employee Relations,Closed,2025-05-21,2025-06-01,EMP-00398,West source fact explain research get kind either.
TKT-000133,EMP-00281,PM-SR,Onboarding,Closed,2025-01-21,2025-01-30,EMP-00398,Degree still even no even body scientist dream anything.
TKT-000134,EMP-00243,SALES-IC2,Compensation,Closed,2025-06-21,2025-07-17,EMP-00045,Difficult do beyond form line race case who within citizen.
TKT-000135,EMP-00264,,HR Technology,Closed,2025-01-11,2025-04-22,EMP-00045,Local current white fly position traditional become off movement.
TKT-000136,EMP-00208,,HR Technology,Closed,2025-03-02,2025-05-11,EMP-00044,Tree company think compare try.
TKT-000137,EMP-00162,DEL-ROLE-023,Onboarding,Closed,2025-07-03,2025-06-19,EMP-00044,Small control see the face also fear owner.
TKT-000138,EMP-00088,,Payroll,In Progress,2025-06-10,,EMP-00398,
TKT-000139,EMP-00108,,Payroll,Closed,2025-11-07,2025-10-29,EMP-00045,Expect writer myself management voice surface life cover.
TKT-000140,EMP-00113,,HR Technology,Closed,2025-03-09,2025-04-16,EMP-00044,Former room possible responsibility add.
TKT-000141,EMP-00399,,HR Technology,Closed,2025-03-05,2025-06-28,EMP-00395,So nothing serious compare task today still middle.
TKT-000142,EMP-00135,DEL-ROLE-041,Compensation,Closed,2025-08-02,2025-09-09,EMP-00392,Husband believe word local very.
TKT-000143,EMP-00399,,Policy & Benefits,Closed,2025-07-06,2025-07-11,EMP-00399,End dog send west.
TKT-000144,EMP-00210,CS-MGR,Learning & Development,Closed,2025-05-02,2025-05-24,EMP-00396,Old of end growth door property let.
TKT-000145,EMP-00162,,Employee Relations,Closed,2025-01-02,2025-02-14,EMP-00392,If maybe time region financial brother.
TKT-000146,EMP-00087,,Policy & Benefits,Closed,2025-08-29,2025-09-05,EMP-00393,Happen determine whatever long lawyer writer health.
TKT-000147,EMP-00232,ENG-MGR,Onboarding,Closed,2025-09-04,2025-09-24,EMP-00398,Tree serious soon stay seven quite other skin moment month.
TKT-000148,EMP-00259,CS-MGR,Offboarding,Closed,2025-12-17,2025-12-31,EMP-00396,Back nor article natural measure of change foreign.
TKT-000149,EMP-00088,,Payroll,Closed,2025-01-05,2025-02-02,EMP-00395,Kind quite response major together knowledge argue car indeed nor.
TKT-000150,EMP-00196,,Employee Relations,Closed,2025-03-11,2025-03-29,EMP-00394,Left southern rich how staff second official and general as.
TKT-000151,EMP-00015,SALES-IC2,Onboarding,Closed,2025-05-11,2025-05-27,EMP-00399,Various attorney value all important.
TKT-000152,EMP-00235,,Payroll,Closed,2025-03-01,2025-03-07,EMP-00393,She within position inside year him.
TKT-000153,EMP-00214,DATA-IC2,Onboarding,Closed,2025-02-18,2025-03-23,EMP-00395,Heart radio product much president girl condition Mr.
TKT-000154,EMP-00158,,HR Technology,Closed,2025-01-21,2025-02-23,EMP-00399,Camera without strong series without leg rest interest here discover.
TKT-000155,EMP-00255,,Payroll,Closed,2025-01-10,2025-02-02,EMP-00398,Get every visit right both special information she this.
TKT-000156,EMP-00318,MKT-IC2,Onboarding,Closed,2025-05-29,2025-07-01,EMP-00045,Drive attack order land.
TKT-000157,EMP-00299,,HR Technology,Closed,2025-10-07,2025-11-10,EMP-00397,Each analysis keep music senior.
TKT-000158,EMP-00273,DEL-ROLE-041,Compensation,In Progress,2025-12-04,,EMP-00394,
TKT-000159,EMP-00137,,Policy & Benefits,In Progress,2025-06-18,,EMP-00398,
TKT-000160,EMP-00415,CS-MGR,Learning & Development,Closed,2025-01-15,2025-02-15,EMP-00397,Cell year doctor trouble office.
TKT-000161,EMP-00313,,HR Technology,Closed,2025-12-16,2025-12-27,EMP-00045,Our pull fly few century produce determine feel article we.
TKT-000162,EMP-00314,,Policy & Benefits,Closed,2025-08-06,2025-08-21,EMP-00393,Personal interview many win walk provide.
TKT-000163,EMP-00029,,Policy & Benefits,Closed,2025-03-25,2025-03-31,EMP-00399,Five indicate chance heavy senior list support feeling remain south.
TKT-000164,EMP-00171,,HR Technology,Closed,2025-03-29,2025-06-02,EMP-00394,None whose newspaper care drug.
TKT-000165,EMP-00263,,Employee Relations,Closed,2025-05-28,2025-07-17,EMP-00396,Form bad last he movie stop.
TKT-000166,EMP-00356,,Employee Relations,Closed,2025-05-15,2025-05-28,EMP-00394,Environmental purpose owner them could.
TKT-000167,EMP-00374,DATA-MGR,Onboarding,Closed,2025-09-15,2025-10-14,EMP-00044,Right next look thank four whatever address view while bring.
TKT-000168,EMP-00019,,HR Technology,Closed,2025-05-26,2025-06-22,EMP-00396,Trial receive region however dream focus executive letter possible.
TKT-000169,EMP-00185,,Payroll,Closed,2025-03-15,2025-04-05,EMP-00391,End mention market better wonder light style.
TKT-000170,EMP-00044,SALES-SR,Compensation,Closed,2025-08-05,2025-09-27,EMP-00395,Have including none determine certainly end.
TKT-000171,EMP-00350,ENG-IC1,Learning & Development,In Progress,2025-10-23,,EMP-00044,
TKT-000172,EMP-00112,,HR Technology,Closed,2025-10-28,2025-11-20,EMP-00394,Often individual charge form here street material pressure range either.
TKT-000173,EMP-00063,,HR Technology,Closed,2025-01-19,2025-03-17,EMP-00398,Whom politics make collection some college result major true.
TKT-000174,EMP-00417,ENG-IC2,Onboarding,Closed,2025-06-22,2025-07-05,EMP-00391,Wrong whatever model stuff avoid stand any according case piece.
TKT-000175,EMP-00381,,Payroll,In Progress,2025-01-10,,EMP-00399,
TKT-000176,EMP-00286,MKT-MGR,Learning & Development,Closed,2025-03-09,2025-03-20,EMP-00044,Religious across media health pay.
TKT-000177,EMP-00145,,Employee Relations,Closed,2025-01-25,2025-03-20,EMP-00394,Tree process administration mother in admit reveal movie expert maybe recently.
TKT-000178,EMP-00382,,Policy & Benefits,Closed,2025-05-26,2025-06-01,EMP-00399,South travel blood benefit chance court money spring environment.
TKT-000179,EMP-00082,,Policy & Benefits,Closed,2025-03-26,2025-04-04,EMP-00044,Bad where learn during recently feel stock ball.
TKT-000180,EMP-00058,DEL-ROLE-023,Onboarding,Closed,2025-12-07,2025-12-10,EMP-00393,Behavior here need argue act.
TKT-000181,EMP-00043,DEL-ROLE-017,Compensation,Closed,2025-05-12,2025-07-07,EMP-00044,Bar suddenly population former with wind.
TKT-000182,EMP-00090,DEL-ROLE-023,Offboarding,Closed,2025-07-30,2025-08-04,EMP-00391,Try discover top realize note even under range exactly myself.
TKT-000183,EMP-00139,ENG-MGR,Offboarding,Closed,2025-11-19,2025-11-23,EMP-00391,Conference sure administration debate certain.
TKT-000184,EMP-00367,,Payroll,Closed,2025-01-07,2025-01-12,EMP-00396,Up federal nor note support quality music himself.
TKT-000185,EMP-00218,,HR Technology,Closed,2025-09-13,2025-10-11,EMP-00393,So ready bad seat generation best.
TKT-000186,EMP-00147,,Payroll,Closed,2025-12-27,2025-12-31,EMP-00392,Stuff future shoulder western however similar ahead.
TKT-000187,EMP-00001,,Payroll,Closed,2025-05-01,2025-05-31,EMP-00395,Situation late direction need heart control one.
TKT-000188,EMP-00271,,Payroll,Closed,2025-07-24,2025-08-08,EMP-00392,Beat peace something require bank child Republican plant.
TKT-000189,EMP-00066,,HR Technology,Open,2025-02-06,,EMP-00397,
TKT-000190,EMP-00114,,HR Technology,Closed,2025-12-27,2025-12-31,EMP-00044,First blood accept final growth especially car cost.
TKT-000191,EMP-00111,DEL-ROLE-041,Onboarding,In Progress,2025-10-15,,EMP-00395,
TKT-000192,EMP-00394,,HR Technology,Closed,2025-11-10,2025-12-31,EMP-00398,News mention billion bed never others six tell activity.
TKT-000193,EMP-00392,,HR Technology,Closed,2025-07-23,2025-09-19,EMP-00045,Hold be top toward within occur college herself.
TKT-000194,EMP-00213,MKT-IC2,Onboarding,Closed,2025-02-27,2025-03-02,EMP-00391,Especially environmental certainly cold every feel.
TKT-000195,EMP-00337,,Policy & Benefits,Closed,2025-09-17,2025-10-02,EMP-00044,Guess want result many pattern.
TKT-000196,EMP-00395,PM-SR,Learning & Development,Closed,2025-12-04,2025-12-31,EMP-00394,Blood fight we forward per sound forget friend spring.
TKT-000197,EMP-00205,,HR Technology,Closed,2025-04-20,2025-07-14,EMP-00399,Carry fly water cut fire who why fact reason make.
TKT-000198,EMP-00193,,Employee Relations,Closed,2025-07-22,2025-08-29,EMP-00045,Site for exactly skill half usually customer young conference should.
TKT-000199,EMP-00040,,Policy & Benefits,Closed,2025-01-16,2025-02-11,EMP-00396,Well left remain just fact.
TKT-000200,EMP-00412,,Payroll,Closed,2025-03-06,2025-03-10,EMP-00398,Standard somebody important material plan.
TKT-000201,EMP-00327,CS-IC2,Learning & Development,Closed,2025-04-16,2025-05-13,EMP-00395,Education child institution help last our old.
TKT-000202,EMP-00076,PM-MGR,Onboarding,Closed,2025-02-07,2025-02-12,EMP-00045,Media turn reality myself so growth time Mr point be.
TKT-000203,EMP-00007,,HR Technology,Open,2025-09-18,,EMP-00398,
TKT-000204,EMP-00396,,Employee Relations,Closed,2025-03-06,2025-04-20,EMP-00391,Price great positive and worker quality hundred.
TKT-000205,EMP-00295,PM-SR,Compensation,Closed,2025-01-08,2025-01-15,EMP-00398,Whole involve action else member million oil offer.
TKT-000206,EMP-00208,DATA-IC2,Onboarding,Closed,2025-11-02,2025-11-23,EMP-00392,Hear leg quickly real character young lot far turn.
TKT-000207,EMP-00155,,HR Technology,Closed,2025-10-31,2025-11-07,EMP-00399,Break wait center find lay.
TKT-000208,EMP-00093,,Employee Relations,Closed,2025-04-08,2025-04-30,EMP-00392,Miss give best reveal laugh attack.
TKT-000209,EMP-00151,,HR Technology,Closed,2025-08-16,2025-11-11,EMP-00398,Special boy support possible quality.
TKT-000210,EMP-00063,,Payroll,Closed,2025-08-14,2025-10-04,EMP-00395,Upon scientist might necessary former interview.
TKT-000211,EMP-00042,,Payroll,Closed,2025-04-21,2025-05-10,EMP-00392,Discussion if continue policy it ahead pass culture or.
TKT-000212,EMP-00083,HR-IC2,Learning & Development,Closed,2025-06-26,2025-08-08,EMP-00394,Above Democrat everything region somebody officer son Mr.
TKT-000213,EMP-00226,,Employee Relations,Closed,2025-04-15,2025-04-20,EMP-00393,For leader energy television month police others particularly.
TKT-000214,EMP-00266,,HR Technology,Closed,2025-06-28,2025-09-28,EMP-00045,Box goal leader common purpose song try opportunity public finish.
TKT-000215,EMP-00335,,Payroll,Closed,2024-12-31,2025-01-13,EMP-00399,Figure consumer really memory industry case himself.
TKT-000216,EMP-00270,,Policy & Benefits,Closed,2025-08-15,2025-08-18,EMP-00396,Main Mr try us community cold.
TKT-000217,EMP-00327,,Policy & Benefits,Closed,2025-10-01,2025-10-03,EMP-00395,Cell fire late approach grow act carry.
TKT-000218,EMP-00007,DATA-IC2,Learning & Development,In Progress,2025-05-07,,EMP-00395,
TKT-000219,EMP-00150,,Payroll,Closed,2025-03-23,2025-04-04,EMP-00391,White measure manager range indeed style major bar.
TKT-000220,EMP-00192,,Payroll,Closed,2025-02-16,2025-02-14,EMP-00394,Somebody determine allow different eye.
TKT-000221,EMP-00212,,HR Technology,Closed,2025-03-27,2025-04-01,EMP-00396,Not significant manager member of environmental myself yard my.
TKT-000222,EMP-00151,MKT-IC2,Onboarding,Closed,2025-09-03,2025-10-03,EMP-00396,Service kid despite interesting save.
TKT-000223,EMP-00066,DATA-IC2,Learning & Development,Closed,2025-01-29,2025-02-10,EMP-00394,Fear yourself last give stage keep yes.
TKT-000224,EMP-00265,,HR Technology,Closed,2025-05-31,2025-09-22,EMP-00391,Decide scene ready technology particular into pattern.
TKT-000225,EMP-00370,,HR Technology,Closed,2025-11-14,2025-12-31,EMP-00399,Spend south now mother others collection.
